architecture,budgetSpent_mean,budgetSpent_sd,budgetUtilizationRate_mean,budgetUtilizationRate_sd,unspentBudgetRate_mean,unspentBudgetRate_sd,fundedRate_mean,fundedRate_sd,actualValuePerBudget_mean,actualValuePerBudget_sd,verifiedValuePerBudget_mean,verifiedValuePerBudget_sd,reportedValuePerBudget_mean,reportedValuePerBudget_sd,visibilityGapPerBudget_mean,visibilityGapPerBudget_sd,leakageRate_mean,leakageRate_sd,fundingGini_mean,fundingGini_sd,selectionValueCorrelation_mean,selectionValueCorrelation_sd,centralPlanningValueCorrelation_mean,centralPlanningValueCorrelation_sd,distributedPlanningValueCorrelation_mean,distributedPlanningValueCorrelation_sd,salienceValueCorrelation_mean,salienceValueCorrelation_sd
status_quo,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.33375000,0.02723557,0.42011993,0.06122280,0.12751035,0.01896973,0.46980633,0.05275180,0.04968639,0.03072175,0.08830116,0.05296626,0.70466427,0.02241786,0.28844947,0.15048709,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
participatory_weak_verification,72000.00000000,0.00000000,0.30000000,0.00000000,0.70000000,0.00000000,0.03000000,0.02236068,0.08715845,0.07660023,0.02879903,0.02489876,0.09974113,0.08341326,0.01258268,0.02677842,0.01603491,0.02902027,0.77174062,0.01022305,0.10818979,0.13893338,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
participatory_weak_verification_full_budget,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.24750000,0.03130915,0.31107307,0.06780887,0.10368510,0.02265487,0.34903933,0.07877509,0.03796625,0.02793737,0.06922667,0.03849187,0.69261872,0.02359363,0.17167765,0.21453206,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
core_v0_tutored_central_planning,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.20875000,0.03064547,0.30709968,0.05184498,0.21369472,0.03577208,0.30961325,0.04971989,0.00251358,0.00773672,0.00460100,0.01176752,0.59458246,0.03142050,0.40057055,0.09890545,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
core_v0_tutored_distributed_planning,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.22250000,0.03708099,0.37817768,0.07183119,0.26195415,0.05207184,0.38002779,0.07291619,0.00185011,0.00574654,0.00223785,0.00692355,0.60389241,0.02666050,0.60981325,0.09251622,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
