architecture,budgetSpent_mean,budgetSpent_sd,budgetUtilizationRate_mean,budgetUtilizationRate_sd,unspentBudgetRate_mean,unspentBudgetRate_sd,fundedRate_mean,fundedRate_sd,actualValuePerBudget_mean,actualValuePerBudget_sd,verifiedValuePerBudget_mean,verifiedValuePerBudget_sd,reportedValuePerBudget_mean,reportedValuePerBudget_sd,visibilityGapPerBudget_mean,visibilityGapPerBudget_sd,leakageRate_mean,leakageRate_sd,fundingGini_mean,fundingGini_sd,selectionValueCorrelation_mean,selectionValueCorrelation_sd,centralPlanningValueCorrelation_mean,centralPlanningValueCorrelation_sd,distributedPlanningValueCorrelation_mean,distributedPlanningValueCorrelation_sd,salienceValueCorrelation_mean,salienceValueCorrelation_sd
status_quo,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.33375000,0.02723557,0.42090925,0.06266741,0.12674204,0.01841173,0.46821203,0.05405300,0.04730278,0.02835272,0.08413064,0.04799765,0.70466427,0.02241786,0.28844947,0.15048709,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
participatory_weak_verification,36984.00000000,0.00000000,0.15410000,0.00000000,0.84590000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69551103,0.01598636,0.00000000,0.00000000,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
participatory_weak_verification_full_budget,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.24750000,0.03024027,0.30688213,0.06861676,0.10263027,0.02424607,0.34280578,0.07109799,0.03592366,0.02529768,0.06591774,0.03974101,0.69272960,0.02341779,0.16605231,0.21868183,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
core_v0_tutored_central_planning,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.22500000,0.02564946,0.32161612,0.04775997,0.22446157,0.03409142,0.32379229,0.04924336,0.00217617,0.00973212,0.00780327,0.02008637,0.59913426,0.02665948,0.36119133,0.12059864,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
core_v0_tutored_distributed_planning,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.23625000,0.03579455,0.40086993,0.05466499,0.27742350,0.04012742,0.40798809,0.05591788,0.00711816,0.01850450,0.00884507,0.02252363,0.61572366,0.02311731,0.61606042,0.08143618,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
