architecture,budgetSpent_mean,budgetSpent_sd,budgetUtilizationRate_mean,budgetUtilizationRate_sd,unspentBudgetRate_mean,unspentBudgetRate_sd,fundedRate_mean,fundedRate_sd,actualValuePerBudget_mean,actualValuePerBudget_sd,verifiedValuePerBudget_mean,verifiedValuePerBudget_sd,reportedValuePerBudget_mean,reportedValuePerBudget_sd,visibilityGapPerBudget_mean,visibilityGapPerBudget_sd,leakageRate_mean,leakageRate_sd,fundingGini_mean,fundingGini_sd,selectionValueCorrelation_mean,selectionValueCorrelation_sd,centralPlanningValueCorrelation_mean,centralPlanningValueCorrelation_sd,distributedPlanningValueCorrelation_mean,distributedPlanningValueCorrelation_sd,salienceValueCorrelation_mean,salienceValueCorrelation_sd
status_quo,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.33375000,0.02723557,0.42011993,0.06122280,0.12751035,0.01896973,0.46980633,0.05275180,0.04968639,0.03072175,0.08830116,0.05296626,0.70466427,0.02241786,0.28844947,0.15048709,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
participatory_weak_verification,36432.00000000,0.00000000,0.15180000,0.00000000,0.84820000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69114727,0.01603884,0.00000000,0.00000000,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
participatory_weak_verification_full_budget,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.24750000,0.03024027,0.31349044,0.06785283,0.10687702,0.02295414,0.33997712,0.07588177,0.02648668,0.02221606,0.06370506,0.03152878,0.69244585,0.02430514,0.16605231,0.21868183,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
core_v0_tutored_central_planning,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.23625000,0.02361283,0.34491871,0.04164919,0.23922662,0.02984595,0.34535613,0.04239977,0.00043742,0.00195621,0.00491550,0.01710743,0.61629389,0.02520639,0.32807137,0.10047411,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
core_v0_tutored_distributed_planning,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.25250000,0.03024027,0.43189007,0.04590004,0.30027013,0.03747034,0.43645832,0.04071751,0.00456825,0.01409029,0.00869822,0.02044393,0.62680909,0.02304151,0.61469275,0.07236396,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
