architecture,budgetSpent_mean,budgetSpent_sd,budgetUtilizationRate_mean,budgetUtilizationRate_sd,unspentBudgetRate_mean,unspentBudgetRate_sd,fundedRate_mean,fundedRate_sd,actualValuePerBudget_mean,actualValuePerBudget_sd,verifiedValuePerBudget_mean,verifiedValuePerBudget_sd,reportedValuePerBudget_mean,reportedValuePerBudget_sd,visibilityGapPerBudget_mean,visibilityGapPerBudget_sd,leakageRate_mean,leakageRate_sd,fundingGini_mean,fundingGini_sd,selectionValueCorrelation_mean,selectionValueCorrelation_sd,centralPlanningValueCorrelation_mean,centralPlanningValueCorrelation_sd,distributedPlanningValueCorrelation_mean,distributedPlanningValueCorrelation_sd,salienceValueCorrelation_mean,salienceValueCorrelation_sd
status_quo,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.33375000,0.02723557,0.42776026,0.06005876,0.12719485,0.01634866,0.47187769,0.05820157,0.04411743,0.02658092,0.07380481,0.03464427,0.70466427,0.02241786,0.28844947,0.15048709,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
participatory_weak_verification,32016.00000000,0.00000000,0.13340000,0.00000000,0.86660000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.70305371,0.01531106,0.00000000,0.00000000,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
participatory_weak_verification_full_budget,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.24625000,0.03371221,0.31276899,0.06612276,0.10376225,0.02274428,0.33925600,0.07449660,0.02648701,0.01832095,0.04657614,0.03068786,0.69585392,0.02394942,0.16702596,0.21276561,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
core_v0_tutored_central_planning,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.24125000,0.02333255,0.33279298,0.05558996,0.23079719,0.03980079,0.33675146,0.05679704,0.00395848,0.01064448,0.00901346,0.02179317,0.62589782,0.02311219,0.31374158,0.13400071,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
core_v0_tutored_distributed_planning,240000.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.26000000,0.03663475,0.44161742,0.05008074,0.30743528,0.03755502,0.44554691,0.05090146,0.00392949,0.00829655,0.00893743,0.01605179,0.63428140,0.02319251,0.61186575,0.07955772,0.45916845,0.11436693,0.82879167,0.05620591,0.18842650,0.18483501
